,alpha,beta,gamma,tau,scf_cs,nn_scf_cs
525,4,0.5,20,0.8,8.932714059,9.175574
526,13,0.5,20,0.8,23.00255479,22.682472
527,22,0.5,20,0.8,23.79870886,23.759375
528,31,0.5,20,0.8,23.82164305,23.866657
529,40,0.5,20,0.8,23.82503954,23.849125
530,4,0.6,20,0.8,8.398502955,8.679829
531,13,0.6,20,0.8,24.05495996,23.59739
532,22,0.6,20,0.8,24.82333552,24.642977
533,31,0.6,20,0.8,24.84505192,24.736153
534,40,0.6,20,0.8,24.84826278,24.743063
535,4,0.7,20,0.8,8.398834134,8.377046
536,13,0.7,20,0.8,24.10652327,23.619694
537,22,0.7,20,0.8,24.73370002,24.521793
538,31,0.7,20,0.8,24.75161999,24.5754
539,40,0.7,20,0.8,24.75394607,24.577404
540,4,0.2,26,0.8,12.05750505,12.316427
541,13,0.2,26,0.8,18.05084372,17.944168
542,22,0.2,26,0.8,19.05278042,19.04131
543,31,0.2,26,0.8,19.0661492,19.135485
544,40,0.2,26,0.8,19.07176694,18.916283
545,4,0.3,26,0.8,12.56242227,12.88115
546,13,0.3,26,0.8,22.80233615,22.368355
